milo,name,telefon
 pakval@meta.ua,"Агенство ТА ""Пакуй валізи""", 0462613999
 chernigiv@joinup.com.ua,Агенство JOINUP.AGENCY, 093 315 30 30
 chernigov2@poehalisnami.com,Агенство Поехали с нами, 
 alfatour1@mail.ru,"Агенство Туристическое  агентство  ""Альфа  тур"" ", (050) 465-48-33
 zefirtour@mail.ua,Агенство Зефир Тревел, 0734386880
 royal-travel@ukr.net,Агенство РОЯЛ ТРЕВЕЛ, +380522270233
 ,Агенство ЦЕНТР ТУРИЗМА, 0981562506
 mannschaft@inbox.ru,"Агенство Туроператор ""Маншафт""", 067-473-53-09
 888tur@ukr.net,Агенство 888 ТУР, 0472328802
 9361988@gmail.com,"Агенство ""Туроператор НАМИ""", +380679361988
 feerie-ck@ukr.net,"Агенство Сеть туристических агентств ""Феєрія мандрів"" г. Черкассы", 098 088 66 26
 Alva-tour@i.ua,"Агенство Туристическое агентство ""АлВа Тур""", 050 9426445
 103.1@dp.tui.ua,Агенство TUI турагенство, 050 457 35 35
 yana_dk@ukr.net,Агенство ТОП ВОЯЖ," +38 095 694 91 22, +38 097 883 95 97"
 natali777kh@mail.ru,"Агенство ""Формула отдыха""", (099) 941-06-63
 alma-din@rambler.ru,Агенство Акита - тур, 0522 24 55 60
 ,Агенство Сотик Тур, 0502392198
 vojdaevaira@yandex.ua,"Агенство ТФ ""Планета-Тревел""", 0542781831
 legkotravel@ukr.net,Агенство ЛегкоTravel, 050966189
 viptyp@mail.ru,Агенство VIPтур, +380634202888
 tourmapa@gmail.com,Агенство Tourmapa (Турмапа), +380669306464
 yanko.travel@gmail.com,Агенство Агентство путешествий ЯНКО, 0432 562 643
 ,Агенство БудуВсюду, 0966448464
 in.azovtour.com.ua,"Агенство ТА ""АЗОВ-Тур"" /СПД Мельник Н.А.", 097-213-46-72
 papaya.travel13@gmail.com,Агенство Papaya Travel, 0663587282
 regatostur@gmail.com,Агенство Регатос, 0506150758
 evraziya_tur@ukr.net,Агенство Евразия тур, 097-593-91-85
 inter.kos@i.ua,Агенство Интертревеллер, 0505729269
 hottoury@gmail.com,Агенство Алмаз Тревел, 778-05-05
 Main@exp.dp.ua,"Агенство Украинско-Испанская туристическая компания""Экспресс-Тур""", 0562319191
 vntartusdnipro@gmail.com,Агенство ТАРТУС-ТУР ДНЕПР, +38(056) 37-27-000
 zakaz@sultantour.com.ua,Агенство Султан Тур, +380673724343
 tcon@i.ua,Агенство ООО Трансконтиненталь, 0563703142
 amangatour@gmail.com,Агенство Аманга-тур, (056) 371-07-22
 tourtime@meta.ua,"Агенство Туристическая компания ""ТУРТАЙМ""", 0562-340-333
 sunrise.dp.info@gmail.com,Агенство Санрайз Тур, 346-000
 nadya08654@mail.ru,Агенство Надия тур , 
 travelofdream@gmail.com,"Агенство Туристическая компания ""Путешествие мечты""", (057)760-47-28
 bviaggio1@gmail.com,Агенство Melia travel, (057)750-84-32
 info@ligtour.com,"Агенство ""ЛИГтур"" ""LIGtour""", (057) 751-85-58
 marcopolo-tur@bk.ru,Агенство Marco Polo, +38 050 806 84 89
 madagaskar.kh@mail.ru,Агенство Мадагаскар Тревел, +380663562585
 ,"Агенство ""Солнечная жизнь""", 0677806653
 veterstranstviy@ukr.net,Агенство Ветер странствий, (050)2914989
 tours.travel.world@gmail.com,Агенство Туристическая компания TRAVEL WORLD, (061) 2897108
 baron-travel@mail.ua,Агенство БАРОН ТРЕВЕЛ, (098) 125-17-17
 vischeneba2014@yandex.ru,Агенство Выше неба, 0509711096
 info@azbuka-tour.com,Агенство АЗБУКА ТУР, +38 050 020 40 12
 tiptoptour@ukr.net,Агенство Тип Топ Тур, 380 99 333 16 16
 office@go-afros.com.ua,Агенство AFROS отдых и путешествия, +380502983642
 armada_ntour@mail.ru,Агенство АРМАДА ТУР, 7004777
 kryiz@list.ru,Агенство Лия-Круиз, +38 (061) 270-59-98
 tours4u@inbox.ru,Агенство Успех-Тур, 7874504
 liontour.zp@gmal.com,"Агенство Туристическая компания ""LION TOUR""", 0679107196
 vivanta@ukr.net,"Агенство ООО ""ВИВАНТА""", (061)707-87-08
 tatgunter@mail.ru,Агенство HONTOUR TA, +380970776660
 Tur.km.ua@gmail.com,Агенство TUI Хмельницький, 0970192020
 info@siesta.km.ua,"Агенство ТФ ""Сиеста""", (0382) 708-308
 221@dp.tui.ua,Агенство ТУІ Турагенція, (0564) 90-28-18
 sofija-tur@mail.ru,"Агенство ТА ""СОФИЯ-ТУР""", 098-785-93-04
 	indigolviv@gmail.com,Агенство IN.DI.GO TRAVEL, 067-372-97-09
 tur.enjoy@gmail.com,Агенство Enjoy-tour, (032) 2255888
 info@tour-u.in.ua,Агенство Туристична фірма Tour-U, 0997065333
 t.t.tour.com@gmail.com,"Агенство Туристическое агенство ""Афина""", (0512) 45 - 55 - 88
 300@dp.tui.ua,Агенство TUI Турагенція, (096)817 59 20
 astramarine-tour@ukr.net,"Агенство Туристическое агентство "" Астрамарин тур""", +380505237623
 mk@mk-travels.com,Агенство MkTravels, +380984998607
 4to_gde_kuda@mail.ru,"Агенство ТА ""Что? Где? Куда?""", 0512 718 719
 htmk@yandex.ru,Агенство ГОРЯЧИЕ ПУТЕШЕСТВИЯ, 0512470884
 tropicana-tour@mail.ua,Агенство ТРОПИКАНА Туристическое Агентство , (063) 628-0007
 kontinent_tour@ukr.net,Агенство Континент тур, (0512)47-02-35
 duc@touristic.od.ua,"Агенство Туристическое агентство ""Дюк""", +380482321514
 119.4@od.tui.ua,"Агенство Турагенство ""TUI""", 0487281766
 insky@insky.biz,Агенство Инскай – экспертная туристическая поддержка, 
 startrvl@ukr.net,"Агенство Туристическая компания ""STAR TRAVEL""", 048-794-53-58
" vivaldi@e-mail.ua, vivaldi.test@mail.ru",Агенство Вивальди, (067)7234990
 info@blesk-tur.com.ua,Агенство Блеск-тур, +38 048 703 76 77
 allvitour@ukr.net,Агенство Аллви Тур, 7185049
 sistematour@mail.ru,Агенство ТА Система Тур, (0564) 92 11 88 
 zltour@ukr.net,Агенство ЗимаЛето, 0676729872
